Country,Year,total_population,log_population,GDP,log_GDP,health_expense,HDI,HIV_death_rate,hep_B_immunity,polio_immunity,BCG_immunity,avg_immunity,adult_mortality_rate,new_mortality,life_expectancy,Homicide_Rate,Unemployment_Rate,Population_Density,Internet_Users,GNI_per_capita
Jamaica,2012,2840992,6.453470011,5209.785166,3.716819815,7.13,0.722,17.50568774,96,96,95,95.66666667,137.3,-137.3,75.3,57.8,5.5,84.2704,31.7,3880
Jordan,2012,7992573,6.902686612,3823.901392,3.582506684,17.46,0.726,0.230046296,98,98,96,97.33333333,114.3,-114.3,73.7,1.5,4.2,107.4762,76.7505,20710
Kazakhstan,2012,16791425,7.225087554,12416.69453,4.094005997,10.9,0.782,1.479704844,95,98,95,96,224.3,-224.3,68.62,3.9,8.5,450.2493,34.45,3910
Kenya,2012,43646629,7.639950707,1136.811389,3.055688416,13.35,0.545,193.1786483,94,94,97,95,245,-245,64.93,4.5,4.2,146.0893,32.2924,4730
Kiribati,2012,106613,5.027810164,1787.372436,3.252215056,8.36,0.596,0.464962933,94,92,95,93.66666667,204.6,-204.6,66.09,15.8,13,86.4634,49.36,4230
Kuwait,2012,3395556,6.530910897,51972.1826,4.715770956,5.77,0.8,0.168878659,98,98,97,97.66666667,82.71,-82.71,74.34,0.86,6.7,68.9981,84.114,35670
Latvia,2012,2034319,6.308419055,13618.3702,4.134125136,9.81,0.825,5.930043562,90,91,94,91.66666667,162,-162,74.04,0.2,2.8,337.34,84.5881,36300
Lesotho,2012,2089928,6.320131325,1329.286799,3.123618692,13.12,0.48,661.646126,95,93,93,93.66666667,478.5,-478.5,52.53,2.8,15.1,110.2258,66.7903,5980
Liberia,2012,4181563,6.621338644,419.2802163,2.622504371,11.58,0.455,71.25163616,80,80,85,81.66666667,239.5,-239.5,61.5,6,4.9,6.697,76.4267,11780
Libya,2012,6198258,6.79226965,16094.44425,4.206675985,7.94,0.742,1.266916237,98,98,99,98.33333333,126.1,-126.1,72.95,5.6,2.7,88.2404,17.8271,1730
Lithuania,2012,2987773,6.475347598,14067.20704,4.148207879,12.06,0.835,1.937462766,93,93,98,94.66666667,179.6,-179.6,73.83,4.13,6.9,32.2718,38,2230
Madagascar,2012,22346573,7.349210931,518.1527278,2.714457789,13.51,0.507,15.27367644,70,71,78,73,234.8,-234.8,64.51,5.9,8.7,31.3681,80.1141,21920
Malawi,2012,16097305,7.206753173,371.6178834,2.570096605,22.1,0.452,337.2120111,96,95,99,96.66666667,324.8,-324.8,60.18,46.2,24.1,68.8911,29,2170
Malaysia,2012,29170456,7.464943218,10817.42868,4.03412404,5.71,0.782,8.359586671,97,97,99,97.66666667,129.3,-129.3,74.64,10,3,48.8188,7.9845,580
Maldives,2012,386203,5.586815643,7265.596952,3.861271302,19.26,0.688,0.179182553,99,99,99,99,62.29,-62.29,77.23,5.1,7.1,45.4002,77.6153,23560
Mali,2012,16006670,7.204300991,778.6695539,2.891353194,12.42,0.408,43.06602318,65,65,77,69,280.5,-280.5,56.35,6.9,1.7,43.9511,9.8,930
Mauritania,2012,3830239,6.583225874,1697.502517,3.229810427,4.58,0.503,0.790247296,80,80,95,85,208.4,-208.4,62.86,2.8,5.7,187.4225,13.7822,730
Mauritius,2012,1255882,6.098948836,9308.981439,3.968902164,9.85,0.768,5.607365026,98,98,99,98.33333333,152,-152,74,2.7,3.4,94.6725,80.1405,16270
Mexico,2012,120828307,8.08216869,10241.76032,4.010374608,11.47,0.752,4.848088565,99,99,99,99,131,-131,75.99,1.9,6,1654.6733,63.1857,7560
Mongolia,2012,2814226,6.449358971,4351.883362,3.638677247,5.81,0.719,0.372318091,99,99,99,99,221.6,-221.6,68.91,11,7.3,15.1718,13,1140
Montenegro,2012,620601,5.792812471,6530.796774,3.81496617,9.84,0.798,0.248504191,90,94,95,93,107.7,-107.7,75.91,11.2,9.6,4.155,20.801,2480
Morocco,2012,33333789,7.522884682,2956.0836,3.470716712,6.05,0.636,2.716901789,99,99,99,99,74.92,-74.92,74.94,3.3,6.8,622.9059,55.4032,15060
Mozambique,2012,25676606,7.409537617,657.6453057,2.817991724,8.81,0.398,457.150741,76,73,91,80,404.4,-404.4,56.15,25.7,3.4,64.1875,63.8522,16450
Myanmar,2012,50986514,7.70745532,1186.721506,3.074348813,3.28,0.541,25.90795797,58,87,87,77.33333333,207.6,-207.6,65.37,7.1,6.4,2.0043,23.7143,5020
Namibia,2012,2263934,6.354863762,5930.573838,3.773096717,13.86,0.612,312.8369999,84,84,90,86,293.4,-293.4,62.68,2.1,16.1,46.659,71.2723,14590
Nepal,2012,27649925,7.441693958,664.2379832,2.822323706,11.82,0.548,13.31358053,90,90,96,92,168.5,-168.5,68.7,2.13,9.2,79.725,61.7622,5060
Nicaragua,2012,5877108,6.769163672,1760.463296,3.245626975,18.68,0.625,7.255320314,98,99,98,98.33333333,155,-155,74.46,4.2,3.3,36.4315,10,1000
Niger,2012,17731634,7.248748758,519.8508658,2.715878772,7.6,0.338,26.68327771,71,71,85,75.66666667,264.5,-264.5,57.78,18.4,21.6,2.9183,51,7240
Nigeria,2012,167297284,8.22348889,2746.990896,3.43885722,7.43,0.502,149.4491731,42,42,51,45,373.1,-373.1,53.24,2.6,1.4,192.7637,34,1470
Oman,2012,3464644,6.539658617,21872.62025,4.339900813,4.77,0.804,2.800878297,98,99,99,98.66666667,103.2,-103.2,76.12,9.4,3.3,53.0567,27.863,3890
Pakistan,2012,177911533,8.250204102,1146.099479,3.059222315,4.73,0.533,1.600007223,64,64,84,70.66666667,169.6,-169.6,65.59,10,0.5,17.0541,10.2243,760
Panama,2012,3772938,6.576679669,10722.28706,4.03028743,12.69,0.77,13.4938404,85,87,98,90,115.7,-115.7,77.29,9.6,8.4,209.5735,42,2450
Papua New Guinea,2012,7430836,6.871037676,2790.635211,3.44570307,11.66,0.508,30.04779934,74,81,99,84.66666667,233.9,-233.9,64.96,5.2,3.9,269.6998,15.51,2880
Paraguay,2012,6379219,6.804767512,5183.08207,3.714588086,11.46,0.697,10.78740366,91,89,93,91,148.8,-148.8,73.71,14.3,3.9,55.2431,57.8651,15150
Peru,2012,30158966,7.479416448,6529.005839,3.814847057,13.87,0.734,5.502801518,95,94,95,94.66666667,129.4,-129.4,75,10.9,2.5,18.6328,11.2092,2740
Philippines,2012,96866642,7.986174245,2572.629613,3.410377264,8.24,0.684,4.35560859,88,88,89,88.33333333,200.3,-200.3,68.6,9.1,4.6,17.2843,61.0758,5720
Poland,2012,38063164,7.580504886,13089.01664,4.11690702,10.75,0.836,0.359299725,97,95,94,95.33333333,126,-126,76.72,9.1,3.5,24.5659,48.7276,10090
Portugal,2012,10514844,7.021802834,20542.49303,4.312653148,12.86,0.829,4.142021968,98,98,99,98.33333333,80.59,-80.59,80.54,0.9,8.9,112.3324,73.7912,24770
Qatar,2012,2109568,6.324193529,85076.18024,4.929807983,5.83,0.85,0.298158287,93,93,97,94.33333333,65.08,-65.08,77.59,1.4,4.9,85.3889,63.7473,16860
Romania,2012,20058035,7.302288385,8463.553644,3.927552751,12.06,0.796,0.781211459,96,92,99,95.66666667,140.6,-140.6,74.52,9.1,5.2,8.8863,76.0081,22720
Rwanda,2012,10788853,7.032975276,695.3046085,2.842175108,10.44,0.504,53.49433486,98,98,99,98.33333333,219.5,-219.5,66,4.5,1.1,485.649,21.7676,1320
Samoa,2012,189194,5.276907359,3995.001513,3.601516948,11.62,0.696,3.884553773,82,82,90,84.66666667,123.7,-123.7,74,23.3,20,296.6459,50.8152,11300
Sao Tome and Principe,2012,182889,5.262187585,1340.526642,3.12727545,5.9,0.558,0.163421476,96,96,99,97,198.4,-198.4,67.68,3.2,8.4,69.029,33.6109,4250
Saudi Arabia,2012,29086357,7.46368933,25243.60719,4.402151414,7.75,0.837,1.4517659,98,98,99,98.33333333,93.76,-93.76,74.16,7.9,6.6,80.0881,46,1880
Senegal,2012,13703513,7.136831916,1372.591632,3.137541347,7.48,0.489,24.4021442,91,83,97,90.33333333,199.6,-199.6,65.06,1.8,13.5,100.9562,70.3308,11430
Serbia,2012,7199077,6.857276819,5657.485048,3.752623415,13.12,0.772,0.87198231,97,93,98,96,111,-111,75.51,13.8,3,209.6043,58.7698,25740
Seychelles,2012,88303,4.945975459,11441.27589,4.058474458,10.38,0.777,4.954076219,99,98,99,98.66666667,174.2,-174.2,72.59,7.5,4.5,103.7465,9,1340
Sierra Leone,2012,6766103,6.830338605,566.3783984,2.753106681,9.71,0.413,58.7024185,91,91,98,93.33333333,395.4,-395.4,51.11,0.3,4.2,8154.3443,84.4495,60110
Singapore,2012,5312437,6.725293793,54308.76638,4.734869938,11.1,0.92,0.603800178,97,97,99,97.66666667,57.35,-57.35,82.24,1.3,8.1,113.2902,81.6257,24770
Solomon Islands,2012,551531,5.741569928,1754.982136,3.2442727,13.34,0.546,3.923336577,92,88,85,88.33333333,160.3,-160.3,70.21,4.1,0.6,22.7238,11.9242,2130
South Africa,2012,52998213,7.724261226,7501.598866,3.875153837,14.44,0.673,483.1973262,70,69,86,75,360.6,-360.6,60.69,39.7,27.1,46.9955,56.1674,11010
