Country,Year,Series,Value
Belize,2005,Population aged 0 to 14 years old (percentage),38.9024
Belize,2005,Population aged 60+ years old (percentage),4.8467
Belize,2005,Population density,12.4419
Belize,2010,Population mid-year estimates (millions),0.3225
Belize,2010,Population mid-year estimates for males (millions),0.1613
Belize,2010,Population mid-year estimates for females (millions),0.1611
Belize,2010,Sex ratio (males per 100 females),100.1185
Belize,2010,Population aged 0 to 14 years old (percentage),35.6127
Belize,2010,Population aged 60+ years old (percentage),5.956
Belize,2010,Population density,14.137
Belize,2017,Population mid-year estimates (millions),0.3758
Belize,2017,Population mid-year estimates for males (millions),0.1873
Belize,2017,Population mid-year estimates for females (millions),0.1885
Belize,2017,Sex ratio (males per 100 females),99.3723
Belize,2017,Population aged 0 to 14 years old (percentage),30.9036
Belize,2017,Population aged 60+ years old (percentage),6.9745
Belize,2017,Population density,16.4739
Belize,2017,Surface area (thousand km2),22.966
Belize,2020,Population mid-year estimates (millions),0.3976
Belize,2020,Population mid-year estimates for males (millions),0.1978
Belize,2020,Population mid-year estimates for females (millions),0.1999
Belize,2020,Sex ratio (males per 100 females),98.9498
Belize,2020,Population aged 0 to 14 years old (percentage),29.1994
Belize,2020,Population aged 60+ years old (percentage),7.637
Belize,2020,Population density,17.4322
Benin,2005,Population mid-year estimates (millions),7.9822
Benin,2005,Population mid-year estimates for males (millions),3.9554
Benin,2005,Population mid-year estimates for females (millions),4.0268
Benin,2005,Sex ratio (males per 100 females),98.2264
Benin,2005,Population aged 0 to 14 years old (percentage),44.4385
Benin,2005,Population aged 60+ years old (percentage),4.9669
Benin,2005,Population density,70.7895
Benin,2010,Population mid-year estimates (millions),9.1993
Benin,2010,Population mid-year estimates for males (millions),4.5688
Benin,2010,Population mid-year estimates for females (millions),4.6304
Benin,2010,Sex ratio (males per 100 females),98.67
Benin,2010,Population aged 0 to 14 years old (percentage),43.846
Benin,2010,Population aged 60+ years old (percentage),4.9187
Benin,2010,Population density,81.5826
Benin,2017,Population mid-year estimates (millions),11.1752
Benin,2017,Population mid-year estimates for males (millions),5.5743
Benin,2017,Population mid-year estimates for females (millions),5.6009
Benin,2017,Sex ratio (males per 100 females),99.5251
Benin,2017,Population aged 0 to 14 years old (percentage),42.6686
Benin,2017,Population aged 60+ years old (percentage),4.9885
Benin,2017,Population density,99.106
Benin,2017,Surface area (thousand km2),114.763
Benin,2020,Population mid-year estimates (millions),12.1232
Benin,2020,Population mid-year estimates for males (millions),6.0542
Benin,2020,Population mid-year estimates for females (millions),6.069
Benin,2020,Sex ratio (males per 100 females),99.7578
Benin,2020,Population aged 0 to 14 years old (percentage),41.9446
Benin,2020,Population aged 60+ years old (percentage),5.0815
Benin,2020,Population density,107.5133
Bermuda,2005,Population mid-year estimates (millions),0.0651
Bermuda,2005,Sex ratio (males per 100 females),91.7851
Bermuda,2005,Population aged 0 to 14 years old (percentage),18.3606
Bermuda,2005,Population aged 60+ years old (percentage),16.432
Bermuda,2005,Population density,1302.6
Bermuda,2010,Population mid-year estimates (millions),0.064
Bermuda,2010,Sex ratio (males per 100 females),92.3658
Bermuda,2010,Population aged 0 to 14 years old (percentage),17.4398
Bermuda,2010,Population aged 60+ years old (percentage),18.7216
Bermuda,2010,Population density,1279.12
Bermuda,2017,Population mid-year estimates (millions),0.0613
Bermuda,2017,Sex ratio (males per 100 females),91.4191
Bermuda,2017,Population aged 0 to 14 years old (percentage),14.7605
Bermuda,2017,Population aged 60+ years old (percentage),24.923
Bermuda,2017,Population density,1226.98
Bermuda,2017,Surface area (thousand km2),0.053
Bermuda,2020,Population mid-year estimates (millions),0.0606
Bermuda,2020,Population density,1212.78
Bhutan,2005,Population mid-year estimates (millions),0.6487
Bhutan,2005,Population mid-year estimates for males (millions),0.3402
Bhutan,2005,Population mid-year estimates for females (millions),0.3086
Bhutan,2005,Sex ratio (males per 100 females),110.2339
Bhutan,2005,Population aged 0 to 14 years old (percentage),35.0808
Bhutan,2005,Population aged 60+ years old (percentage),6.7788
Bhutan,2005,Population density,17.0197
Bhutan,2010,Population mid-year estimates (millions),0.6855
Bhutan,2010,Population mid-year estimates for males (millions),0.3601
Bhutan,2010,Population mid-year estimates for females (millions),0.3254
Bhutan,2010,Sex ratio (males per 100 females),110.6521
Bhutan,2010,Population aged 0 to 14 years old (percentage),31.1726
Bhutan,2010,Population aged 60+ years old (percentage),7.5321
Bhutan,2010,Population density,17.9842
Bhutan,2017,Population mid-year estimates (millions),0.7456
Bhutan,2017,Population mid-year estimates for males (millions),0.3945
Bhutan,2017,Population mid-year estimates for females (millions),0.3511
Bhutan,2017,Sex ratio (males per 100 females),112.3724
Bhutan,2017,Population aged 0 to 14 years old (percentage),26.2194
Bhutan,2017,Population aged 60+ years old (percentage),8.4354
Bhutan,2017,Population density,19.5599
Bhutan,2017,Surface area (thousand km2),38.394
Bhutan,2020,Population mid-year estimates (millions),0.7716
Bhutan,2020,Population mid-year estimates for males (millions),0.4101
Bhutan,2020,Population mid-year estimates for females (millions),0.3615
Bhutan,2020,Sex ratio (males per 100 females),113.4325
Bhutan,2020,Population aged 0 to 14 years old (percentage),24.8945
Bhutan,2020,Population aged 60+ years old (percentage),8.9658
Bhutan,2020,Population density,20.2431
Bolivia (Plurin. State of),2005,Population mid-year estimates (millions),9.2323
Bolivia (Plurin. State of),2005,Population mid-year estimates for males (millions),4.6475
Bolivia (Plurin. State of),2005,Population mid-year estimates for females (millions),4.5848
Bolivia (Plurin. State of),2005,Sex ratio (males per 100 females),101.3686
Bolivia (Plurin. State of),2005,Population aged 0 to 14 years old (percentage),36.3266
Bolivia (Plurin. State of),2005,Population aged 60+ years old (percentage),8.1392
Bolivia (Plurin. State of),2005,Population density,8.5224
Bolivia (Plurin. State of),2010,Population mid-year estimates (millions),10.0486
Bolivia (Plurin. State of),2010,Population mid-year estimates for males (millions),5.0561
Bolivia (Plurin. State of),2010,Population mid-year estimates for females (millions),4.9925
Bolivia (Plurin. State of),2010,Sex ratio (males per 100 females),101.2744
Bolivia (Plurin. State of),2010,Population aged 0 to 14 years old (percentage),34.4895
Bolivia (Plurin. State of),2010,Population aged 60+ years old (percentage),8.7869
Bolivia (Plurin. State of),2010,Population density,9.2759
Bolivia (Plurin. State of),2017,Population mid-year estimates (millions),11.1929
Bolivia (Plurin. State of),2017,Population mid-year estimates for males (millions),5.6225
Bolivia (Plurin. State of),2017,Population mid-year estimates for females (millions),5.5704
Bolivia (Plurin. State of),2017,Sex ratio (males per 100 females),100.9357
Bolivia (Plurin. State of),2017,Population aged 0 to 14 years old (percentage),31.5346
Bolivia (Plurin. State of),2017,Population aged 60+ years old (percentage),9.841
Bolivia (Plurin. State of),2017,Population density,10.3322
Bolivia (Plurin. State of),2017,Surface area (thousand km2),1098.581
Bolivia (Plurin. State of),2020,Population mid-year estimates (millions),11.673
Bolivia (Plurin. State of),2020,Population mid-year estimates for males (millions),5.858
Bolivia (Plurin. State of),2020,Population mid-year estimates for females (millions),5.815
Bolivia (Plurin. State of),2020,Sex ratio (males per 100 females),100.7396
Bolivia (Plurin. State of),2020,Population aged 0 to 14 years old (percentage),30.203
Bolivia (Plurin. State of),2020,Population aged 60+ years old (percentage),10.3673
Bolivia (Plurin. State of),2020,Population density,10.7754
"Bonaire, St. Eustatius & Saba",2005,Population mid-year estimates (millions),0.0144
"Bonaire, St. Eustatius & Saba",2005,Population density,43.9116
"Bonaire, St. Eustatius & Saba",2010,Population mid-year estimates (millions),0.0209
"Bonaire, St. Eustatius & Saba",2010,Population density,63.8415
"Bonaire, St. Eustatius & Saba",2020,Population mid-year estimates (millions),0.0262
"Bonaire, St. Eustatius & Saba",2020,Population density,79.9146
Bosnia and Herzegovina,2005,Population mid-year estimates (millions),3.7653
Bosnia and Herzegovina,2005,Population mid-year estimates for males (millions),1.8495
Bosnia and Herzegovina,2005,Population mid-year estimates for females (millions),1.9158
Bosnia and Herzegovina,2005,Sex ratio (males per 100 females),96.5392
Bosnia and Herzegovina,2005,Population aged 0 to 14 years old (percentage),17.7019
Bosnia and Herzegovina,2005,Population aged 60+ years old (percentage),17.4279
Bosnia and Herzegovina,2005,Population density,73.83
Bosnia and Herzegovina,2010,Population mid-year estimates (millions),3.7055
Bosnia and Herzegovina,2010,Population mid-year estimates for males (millions),1.8195
Bosnia and Herzegovina,2010,Population mid-year estimates for females (millions),1.8859
Bosnia and Herzegovina,2010,Sex ratio (males per 100 females),96.479
Bosnia and Herzegovina,2010,Population aged 0 to 14 years old (percentage),15.7371
Bosnia and Herzegovina,2010,Population aged 60+ years old (percentage),19.2814
Bosnia and Herzegovina,2010,Population density,72.6563
Bosnia and Herzegovina,2017,Population mid-year estimates (millions),3.3515
Bosnia and Herzegovina,2017,Population mid-year estimates for males (millions),1.6423
Bosnia and Herzegovina,2017,Population mid-year estimates for females (millions),1.7093
Bosnia and Herzegovina,2017,Sex ratio (males per 100 females),96.0808
Bosnia and Herzegovina,2017,Population aged 0 to 14 years old (percentage),14.7957
Bosnia and Herzegovina,2017,Population aged 60+ years old (percentage),23.01
Bosnia and Herzegovina,2017,Population density,65.7162
Bosnia and Herzegovina,2017,Surface area (thousand km2),51.209
Bosnia and Herzegovina,2020,Population mid-year estimates (millions),3.2808
Bosnia and Herzegovina,2020,Population mid-year estimates for males (millions),1.6066
Bosnia and Herzegovina,2020,Population mid-year estimates for females (millions),1.6742
Bosnia and Herzegovina,2020,Sex ratio (males per 100 females),95.9624
Bosnia and Herzegovina,2020,Population aged 0 to 14 years old (percentage),14.5225
Bosnia and Herzegovina,2020,Population aged 60+ years old (percentage),25.2909
Bosnia and Herzegovina,2020,Population density,64.3298
Botswana,2005,Population mid-year estimates (millions),1.7991
Botswana,2005,Population mid-year estimates for males (millions),0.8749
Botswana,2005,Population mid-year estimates for females (millions),0.9242
Botswana,2005,Sex ratio (males per 100 females),94.6617
Botswana,2005,Population aged 0 to 14 years old (percentage),36.522
Botswana,2005,Population aged 60+ years old (percentage),5.1005
Botswana,2005,Population density,3.1745
Botswana,2010,Population mid-year estimates (millions),1.9871
Botswana,2010,Population mid-year estimates for males (millions),0.9719
Botswana,2010,Population mid-year estimates for females (millions),1.0152
Botswana,2010,Sex ratio (males per 100 females),95.7273
Botswana,2010,Population aged 0 to 14 years old (percentage),34.9684
Botswana,2010,Population aged 60+ years old (percentage),5.302
Botswana,2010,Population density,3.5063
Botswana,2017,Population mid-year estimates (millions),2.2051
Botswana,2017,Population mid-year estimates for males (millions),1.0625
Botswana,2017,Population mid-year estimates for females (millions),1.1426
Botswana,2017,Sex ratio (males per 100 females),92.9864
Botswana,2017,Population aged 0 to 14 years old (percentage),34.4388
Botswana,2017,Population aged 60+ years old (percentage),6.5272
Botswana,2017,Population density,3.8909
Botswana,2017,Surface area (thousand km2),582
Botswana,2020,Population mid-year estimates (millions),2.3516
Botswana,2020,Population mid-year estimates for males (millions),1.1391
Botswana,2020,Population mid-year estimates for females (millions),1.2125
Botswana,2020,Sex ratio (males per 100 females),93.9443
Botswana,2020,Population aged 0 to 14 years old (percentage),33.4037
Botswana,2020,Population aged 60+ years old (percentage),7.0248
Botswana,2020,Population density,4.1495
Brazil,2005,Population mid-year estimates (millions),186.1271
Brazil,2005,Population mid-year estimates for males (millions),92.0021
Brazil,2005,Population mid-year estimates for females (millions),94.125
Brazil,2005,Sex ratio (males per 100 females),97.7446
Brazil,2005,Population aged 0 to 14 years old (percentage),27.3617
Brazil,2005,Population aged 60+ years old (percentage),8.8058
Brazil,2005,Population density,22.269
Brazil,2010,Population mid-year estimates (millions),195.7136
Brazil,2010,Population mid-year estimates for males (millions),96.5363
Brazil,2010,Population mid-year estimates for females (millions),99.1774
Brazil,2010,Sex ratio (males per 100 females),97.337
Brazil,2010,Population aged 0 to 14 years old (percentage),24.8234
Brazil,2010,Population aged 60+ years old (percentage),10.1533
Brazil,2010,Population density,23.4159
Brazil,2017,Population mid-year estimates (millions),207.8338
Brazil,2017,Population mid-year estimates for males (millions),102.2321
Brazil,2017,Population mid-year estimates for females (millions),105.6017
Brazil,2017,Sex ratio (males per 100 females),96.8091
Brazil,2017,Population aged 0 to 14 years old (percentage),21.6838
Brazil,2017,Population aged 60+ years old (percentage),12.7425
Brazil,2017,Population density,24.866
Brazil,2017,Surface area (thousand km2),8515.767
Brazil,2020,Population mid-year estimates (millions),212.5594
Brazil,2020,Population mid-year estimates for males (millions),104.4358
Brazil,2020,Population mid-year estimates for females (millions),108.1236
Brazil,2020,Sex ratio (males per 100 females),96.5892
Brazil,2020,Population aged 0 to 14 years old (percentage),20.7092
Brazil,2020,Population aged 60+ years old (percentage),14.0466
Brazil,2020,Population density,25.4314
British Virgin Islands,2001,Population mid-year estimates (millions),0.0211
British Virgin Islands,2001,Sex ratio (males per 100 females),106.0579
British Virgin Islands,2001,Population aged 0 to 14 years old (percentage),26.2508
British Virgin Islands,2001,Population aged 60+ years old (percentage),7.3909
British Virgin Islands,2001,Population density,140.5667
British Virgin Islands,2005,Population mid-year estimates (millions),0.0232
British Virgin Islands,2005,Population density,154.4533
British Virgin Islands,2010,Population mid-year estimates (millions),0.0272
British Virgin Islands,2010,Sex ratio (males per 100 females),97.0915
British Virgin Islands,2010,Population aged 0 to 14 years old (percentage),22.3426
British Virgin Islands,2010,Population aged 60+ years old (percentage),9.6992
British Virgin Islands,2010,Population density,181.4933
British Virgin Islands,2017,Population mid-year estimates (millions),0.0312
British Virgin Islands,2017,Population density,207.9733
British Virgin Islands,2017,Surface area (thousand km2),0.151
British Virgin Islands,2020,Population mid-year estimates (millions),0.0326
British Virgin Islands,2020,Population density,217.56
Brunei Darussalam,2005,Population mid-year estimates (millions),0.3651
Brunei Darussalam,2005,Population mid-year estimates for males (millions),0.1864
Brunei Darussalam,2005,Population mid-year estimates for females (millions),0.1787
Brunei Darussalam,2005,Sex ratio (males per 100 females),104.3351
Brunei Darussalam,2005,Population aged 0 to 14 years old (percentage),27.831
Brunei Darussalam,2005,Population aged 60+ years old (percentage),4.793
Brunei Darussalam,2005,Population density,69.2816
Brunei Darussalam,2010,Population mid-year estimates (millions),0.3886
Brunei Darussalam,2010,Population mid-year estimates for males (millions),0.2007
Brunei Darussalam,2010,Population mid-year estimates for females (millions),0.1879
Brunei Darussalam,2010,Sex ratio (males per 100 females),106.8137
Brunei Darussalam,2010,Population aged 0 to 14 years old (percentage),25.9591
Brunei Darussalam,2010,Population aged 60+ years old (percentage),5.3643
Brunei Darussalam,2010,Population density,73.7469
Brunei Darussalam,2017,Population mid-year estimates (millions),0.4245
Brunei Darussalam,2017,Population mid-year estimates for males (millions),0.2207
Brunei Darussalam,2017,Population mid-year estimates for females (millions),0.2038
Brunei Darussalam,2017,Sex ratio (males per 100 females),108.3312
Brunei Darussalam,2017,Population aged 0 to 14 years old (percentage),23.496
Brunei Darussalam,2017,Population aged 60+ years old (percentage),7.9291
Brunei Darussalam,2017,Population density,80.5452
Brunei Darussalam,2017,Surface area (thousand km2),5.765
Brunei Darussalam,2020,Population mid-year estimates (millions),0.4375
Brunei Darussalam,2020,Population mid-year estimates for males (millions),0.227
Brunei Darussalam,2020,Population mid-year estimates for females (millions),0.2105
Brunei Darussalam,2020,Sex ratio (males per 100 females),107.8344
Brunei Darussalam,2020,Population aged 0 to 14 years old (percentage),22.324
Brunei Darussalam,2020,Population aged 60+ years old (percentage),9.4983
Brunei Darussalam,2020,Population density,83.0131
Bulgaria,2005,Population mid-year estimates (millions),7.687
Bulgaria,2005,Population mid-year estimates for males (millions),3.7407
Bulgaria,2005,Population mid-year estimates for females (millions),3.9463
Bulgaria,2005,Sex ratio (males per 100 females),94.7886
Bulgaria,2005,Population aged 0 to 14 years old (percentage),13.6164
Bulgaria,2005,Population aged 60+ years old (percentage),23.0912
Bulgaria,2005,Population density,70.8084
Bulgaria,2010,Population mid-year estimates (millions),7.425
Bulgaria,2010,Population mid-year estimates for males (millions),3.6156
Bulgaria,2010,Population mid-year estimates for females (millions),3.8094
Bulgaria,2010,Sex ratio (males per 100 females),94.9139
Bulgaria,2010,Population aged 0 to 14 years old (percentage),13.4963
Bulgaria,2010,Population aged 60+ years old (percentage),25.2613
Bulgaria,2010,Population density,68.3954
Bulgaria,2017,Population mid-year estimates (millions),7.1024
Bulgaria,2017,Population mid-year estimates for males (millions),3.4519
Bulgaria,2017,Population mid-year estimates for females (millions),3.6505
Bulgaria,2017,Sex ratio (males per 100 females),94.5606
Bulgaria,2017,Population aged 0 to 14 years old (percentage),14.4447
Bulgaria,2017,Population aged 60+ years old (percentage),27.599
Bulgaria,2017,Population density,65.4241
Bulgaria,2017,Surface area (thousand km2),111.002
Bulgaria,2020,Population mid-year estimates (millions),6.9484
Bulgaria,2020,Population mid-year estimates for males (millions),3.3741
Bulgaria,2020,Population mid-year estimates for females (millions),3.5743
Bulgaria,2020,Sex ratio (males per 100 females),94.3989
Bulgaria,2020,Population aged 0 to 14 years old (percentage),14.6795
Bulgaria,2020,Population aged 60+ years old (percentage),28.1931
Bulgaria,2020,Population density,64.0056
Burkina Faso,2005,Population mid-year estimates (millions),13.4219
Burkina Faso,2005,Population mid-year estimates for males (millions),6.622
Burkina Faso,2005,Population mid-year estimates for females (millions),6.7999
Burkina Faso,2005,Sex ratio (males per 100 females),97.3834
Burkina Faso,2005,Population aged 0 to 14 years old (percentage),46.4959
Burkina Faso,2005,Population aged 60+ years old (percentage),4.0793
Burkina Faso,2005,Population density,49.0568
Burkina Faso,2010,Population mid-year estimates (millions),15.6052
Burkina Faso,2010,Population mid-year estimates for males (millions),7.7376
Burkina Faso,2010,Population mid-year estimates for females (millions),7.8676
Burkina Faso,2010,Sex ratio (males per 100 females),98.348
Burkina Faso,2010,Population aged 0 to 14 years old (percentage),46.2234
Burkina Faso,2010,Population aged 60+ years old (percentage),3.9013
Burkina Faso,2010,Population density,57.0366
Burkina Faso,2017,Population mid-year estimates (millions),19.1932
Burkina Faso,2017,Population mid-year estimates for males (millions),9.5718
Burkina Faso,2017,Population mid-year estimates for females (millions),9.6214
Burkina Faso,2017,Sex ratio (males per 100 females),99.4851
Burkina Faso,2017,Population aged 0 to 14 years old (percentage),45.1815
Burkina Faso,2017,Population aged 60+ years old (percentage),3.8616
Burkina Faso,2017,Population density,70.1507
Burkina Faso,2017,Surface area (thousand km2),272.967
Burkina Faso,2020,Population mid-year estimates (millions),20.9033
Burkina Faso,2020,Population mid-year estimates for males (millions),10.4447
Burkina Faso,2020,Population mid-year estimates for females (millions),10.4586
Burkina Faso,2020,Sex ratio (males per 100 females),99.8676
Burkina Faso,2020,Population aged 0 to 14 years old (percentage),44.3703
Burkina Faso,2020,Population aged 60+ years old (percentage),3.9268
Burkina Faso,2020,Population density,76.4009
Burundi,2005,Population mid-year estimates (millions),7.3649
Burundi,2005,Population mid-year estimates for males (millions),3.6293
Burundi,2005,Population mid-year estimates for females (millions),3.7356
Burundi,2005,Sex ratio (males per 100 females),97.1559
Burundi,2005,Population aged 0 to 14 years old (percentage),46.9779
Burundi,2005,Population aged 60+ years old (percentage),3.4441
Burundi,2005,Population density,286.7937
Burundi,2010,Population mid-year estimates (millions),8.6756
Burundi,2010,Population mid-year estimates for males (millions),4.2879
Burundi,2010,Population mid-year estimates for females (millions),4.3878
Burundi,2010,Sex ratio (males per 100 females),97.7231
Burundi,2010,Population aged 0 to 14 years old (percentage),45.1403
Burundi,2010,Population aged 60+ years old (percentage),3.3323
Burundi,2010,Population density,337.835
Burundi,2017,Population mid-year estimates (millions),10.827
Burundi,2017,Population mid-year estimates for males (millions),5.3655
Burundi,2017,Population mid-year estimates for females (millions),5.4615
Burundi,2017,Sex ratio (males per 100 females),98.2419
Burundi,2017,Population aged 0 to 14 years old (percentage),45.5555
Burundi,2017,Population aged 60+ years old (percentage),3.8347
Burundi,2017,Population density,421.6129
Burundi,2017,Surface area (thousand km2),27.83
Burundi,2020,Population mid-year estimates (millions),11.8908
Burundi,2020,Population mid-year estimates for males (millions),5.8999
Burundi,2020,Population mid-year estimates for females (millions),5.9909
Burundi,2020,Sex ratio (males per 100 females),98.4801
Burundi,2020,Population aged 0 to 14 years old (percentage),45.2519
Burundi,2020,Population aged 60+ years old (percentage),4.073
Burundi,2020,Population density,463.0368
Cabo Verde,2005,Population mid-year estimates (millions),0.463
Cabo Verde,2005,Population mid-year estimates for males (millions),0.2253
Cabo Verde,2005,Population mid-year estimates for females (millions),0.2377
Cabo Verde,2005,Sex ratio (males per 100 females),94.76
Cabo Verde,2005,Population aged 0 to 14 years old (percentage),37.6387
Cabo Verde,2005,Population aged 60+ years old (percentage),7.1624
Cabo Verde,2005,Population density,114.8963
Cabo Verde,2010,Population mid-year estimates (millions),0.4927
Cabo Verde,2010,Population mid-year estimates for males (millions),0.2461
Cabo Verde,2010,Population mid-year estimates for females (millions),0.2466
Cabo Verde,2010,Sex ratio (males per 100 females),99.7924
Cabo Verde,2010,Population aged 0 to 14 years old (percentage),32.3138
Cabo Verde,2010,Population aged 60+ years old (percentage),6.5316
Cabo Verde,2010,Population density,122.2467
Cabo Verde,2017,Population mid-year estimates (millions),0.5375
Cabo Verde,2017,Population mid-year estimates for males (millions),0.2696
Cabo Verde,2017,Population mid-year estimates for females (millions),0.2679
Cabo Verde,2017,Sex ratio (males per 100 females),100.6544
Cabo Verde,2017,Population aged 0 to 14 years old (percentage),29.1832
Cabo Verde,2017,Population aged 60+ years old (percentage),7.0361
Cabo Verde,2017,Population density,133.3742
Cabo Verde,2017,Surface area (thousand km2),4.033
Cabo Verde,2020,Population mid-year estimates (millions),0.556
Cabo Verde,2020,Population mid-year estimates for males (millions),0.2791
Cabo Verde,2020,Population mid-year estimates for females (millions),0.2769
Cabo Verde,2020,Sex ratio (males per 100 females),100.8112
Cabo Verde,2020,Population aged 0 to 14 years old (percentage),28.0816
Cabo Verde,2020,Population aged 60+ years old (percentage),7.5577
Cabo Verde,2020,Population density,137.962
Cambodia,2005,Population mid-year estimates (millions),13.2734
Cambodia,2005,Population mid-year estimates for males (millions),6.442
Cambodia,2005,Population mid-year estimates for females (millions),6.8314
Cambodia,2005,Sex ratio (males per 100 females),94.3006
Cambodia,2005,Population aged 0 to 14 years old (percentage),37.0661
Cambodia,2005,Population aged 60+ years old (percentage),5.3168
Cambodia,2005,Population density,75.1946
Cambodia,2010,Population mid-year estimates (millions),14.3122
Cambodia,2010,Population mid-year estimates for males (millions),6.9721
Cambodia,2010,Population mid-year estimates for females (millions),7.3402
Cambodia,2010,Sex ratio (males per 100 females),94.9851
Cambodia,2010,Population aged 0 to 14 years old (percentage),33.3266
Cambodia,2010,Population aged 60+ years old (percentage),5.8793
Cambodia,2010,Population density,81.0798
Cambodia,2017,Population mid-year estimates (millions),16.0094
Cambodia,2017,Population mid-year estimates for males (millions),7.8114
Cambodia,2017,Population mid-year estimates for females (millions),8.198
Cambodia,2017,Sex ratio (males per 100 females),95.2837
Cambodia,2017,Population aged 0 to 14 years old (percentage),31.2724
Cambodia,2017,Population aged 60+ years old (percentage),7.0525
Cambodia,2017,Population density,90.6946
Cambodia,2017,Surface area (thousand km2),181.035
Cambodia,2020,Population mid-year estimates (millions),16.719
Cambodia,2020,Population mid-year estimates for males (millions),8.1624
Cambodia,2020,Population mid-year estimates for females (millions),8.5565
Cambodia,2020,Sex ratio (males per 100 females),95.3939
Cambodia,2020,Population aged 0 to 14 years old (percentage),30.925
Cambodia,2020,Population aged 60+ years old (percentage),7.5654
Cambodia,2020,Population density,94.7143
Cameroon,2005,Population mid-year estimates (millions),17.7334
Cameroon,2005,Population mid-year estimates for males (millions),8.8372
Cameroon,2005,Population mid-year estimates for females (millions),8.8962
Cameroon,2005,Sex ratio (males per 100 females),99.3362
Cameroon,2005,Population aged 0 to 14 years old (percentage),44.1789
Cameroon,2005,Population aged 60+ years old (percentage),4.6558
Cameroon,2005,Population density,37.5144
Cameroon,2010,Population mid-year estimates (millions),20.3412
Cameroon,2010,Population mid-year estimates for males (millions),10.1538
Cameroon,2010,Population mid-year estimates for females (millions),10.1874
Cameroon,2010,Sex ratio (males per 100 females),99.6697
Cameroon,2010,Population aged 0 to 14 years old (percentage),43.6907
Cameroon,2010,Population aged 60+ years old (percentage),4.432
Cameroon,2010,Population density,43.0311
Cameroon,2017,Population mid-year estimates (millions),24.5661
Cameroon,2017,Population mid-year estimates for males (millions),12.2795
Cameroon,2017,Population mid-year estimates for females (millions),12.2866
Cameroon,2017,Sex ratio (males per 100 females),99.9424
Cameroon,2017,Population aged 0 to 14 years old (percentage),42.8673
Cameroon,2017,Population aged 60+ years old (percentage),4.3007
Cameroon,2017,Population density,51.9686
Cameroon,2017,Surface area (thousand km2),475.65
Cameroon,2020,Population mid-year estimates (millions),26.5459
Cameroon,2020,Population mid-year estimates for males (millions),13.2771
Cameroon,2020,Population mid-year estimates for females (millions),13.2688
Cameroon,2020,Sex ratio (males per 100 females),100.0624
Cameroon,2020,Population aged 0 to 14 years old (percentage),42.0639
Cameroon,2020,Population aged 60+ years old (percentage),4.2998
Cameroon,2020,Population density,56.1568
Canada,2005,Population mid-year estimates (millions),32.1643
Canada,2005,Population mid-year estimates for males (millions),15.9454
Canada,2005,Population mid-year estimates for females (millions),16.2189
Canada,2005,Sex ratio (males per 100 females),98.3142
Canada,2005,Population aged 0 to 14 years old (percentage),17.6759
Canada,2005,Population aged 60+ years old (percentage),17.8723
Canada,2005,Population density,3.5371
Canada,2010,Population mid-year estimates (millions),34.1476
Canada,2010,Population mid-year estimates for males (millions),16.9418
Canada,2010,Population mid-year estimates for females (millions),17.2058
Canada,2010,Sex ratio (males per 100 females),98.4659
Canada,2010,Population aged 0 to 14 years old (percentage),16.4886
Canada,2010,Population aged 60+ years old (percentage),19.8951
Canada,2010,Population density,3.7552
Canada,2017,Population mid-year estimates (millions),36.7321
Canada,2017,Population mid-year estimates for males (millions),18.2182
Canada,2017,Population mid-year estimates for females (millions),18.5139
Canada,2017,Sex ratio (males per 100 females),98.4026
Canada,2017,Population aged 0 to 14 years old (percentage),15.87
Canada,2017,Population aged 60+ years old (percentage),23.2775
Canada,2017,Population density,4.0394
Canada,2017,Surface area (thousand km2),9984.67
Canada,2020,Population mid-year estimates (millions),37.7422
Canada,2020,Population mid-year estimates for males (millions),18.7322
Canada,2020,Population mid-year estimates for females (millions),19.01
Canada,2020,Sex ratio (males per 100 females),98.5387
Canada,2020,Population aged 0 to 14 years old (percentage),15.7753
Canada,2020,Population aged 60+ years old (percentage),24.894
Canada,2020,Population density,4.1504
Cayman Islands,2005,Population mid-year estimates (millions),0.0486
Cayman Islands,2005,Sex ratio (males per 100 females),100.9537
Cayman Islands,2005,Population density,202.5917
Cayman Islands,2010,Population mid-year estimates (millions),0.0555
Cayman Islands,2010,Sex ratio (males per 100 females),97.8431
Cayman Islands,2010,Population aged 0 to 14 years old (percentage),18.1154
Cayman Islands,2010,Population aged 60+ years old (percentage),8.5599
Cayman Islands,2010,Population density,231.2792
Cayman Islands,2015,Population mid-year estimates (millions),0.06
Cayman Islands,2015,Sex ratio (males per 100 females),100.3814
Cayman Islands,2015,Population aged 0 to 14 years old (percentage),18.2808
Cayman Islands,2015,Population aged 60+ years old (percentage),6.6873
Cayman Islands,2015,Population density,249.8458
Cayman Islands,2015,Surface area (thousand km2),0.264
Cayman Islands,2017,Population mid-year estimates (millions),0.0616
Cayman Islands,2017,Population density,256.4958
Cayman Islands,2017,Surface area (thousand km2),0.264
Cayman Islands,2020,Population mid-year estimates (millions),0.0639
Cayman Islands,2020,Population density,266.2083
Central African Republic,2005,Population mid-year estimates (millions),4.0384
Central African Republic,2005,Population mid-year estimates for males (millions),1.9959
Central African Republic,2005,Population mid-year estimates for females (millions),2.0425
Central African Republic,2005,Sex ratio (males per 100 females),97.7173
