Country,Year,Series,Value
Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),416.3858
Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),419.978
Sub-Saharan Africa,2010,Sex ratio (males per 100 females),99.1447
Sub-Saharan Africa,2010,Population aged 0 to 14 years old (percentage),43.7572
Sub-Saharan Africa,2010,Population aged 60+ years old (percentage),4.5774
Sub-Saharan Africa,2010,Population density,38.2267
Sub-Saharan Africa,2017,Population mid-year estimates (millions),1011.4291
Sub-Saharan Africa,2017,Population mid-year estimates for males (millions),504.4354
Sub-Saharan Africa,2017,Population mid-year estimates for females (millions),506.9937
Sub-Saharan Africa,2017,Sex ratio (males per 100 females),99.4954
Sub-Saharan Africa,2017,Population aged 0 to 14 years old (percentage),42.8168
Sub-Saharan Africa,2017,Population aged 60+ years old (percentage),4.6759
Sub-Saharan Africa,2017,Population density,46.2282
Sub-Saharan Africa,2017,Surface area (thousand km2),22431
Sub-Saharan Africa,2020,Population mid-year estimates (millions),1094.3656
Sub-Saharan Africa,2020,Population mid-year estimates for males (millions),546.1557
Sub-Saharan Africa,2020,Population mid-year estimates for females (millions),548.2099
Sub-Saharan Africa,2020,Sex ratio (males per 100 females),99.6253
Sub-Saharan Africa,2020,Population aged 0 to 14 years old (percentage),42.0649
Sub-Saharan Africa,2020,Population aged 60+ years old (percentage),4.7676
Sub-Saharan Africa,2020,Population density,50.0189
Eastern Africa,2005,Population mid-year estimates (millions),295.1854
Eastern Africa,2005,Population mid-year estimates for males (millions),146.0404
Eastern Africa,2005,Population mid-year estimates for females (millions),149.145
Eastern Africa,2005,Sex ratio (males per 100 females),97.9184
Eastern Africa,2005,Population aged 0 to 14 years old (percentage),45.4851
Eastern Africa,2005,Population aged 60+ years old (percentage),4.2672
Eastern Africa,2005,Population density,44.2723
Eastern Africa,2010,Population mid-year estimates (millions),339.3178
Eastern Africa,2010,Population mid-year estimates for males (millions),167.9658
Eastern Africa,2010,Population mid-year estimates for females (millions),171.352
Eastern Africa,2010,Sex ratio (males per 100 females),98.0238
Eastern Africa,2010,Population aged 0 to 14 years old (percentage),44.8877
Eastern Africa,2010,Population aged 60+ years old (percentage),4.2758
Eastern Africa,2010,Population density,50.8914
Eastern Africa,2017,Population mid-year estimates (millions),411.3967
Eastern Africa,2017,Population mid-year estimates for males (millions),204.0091
Eastern Africa,2017,Population mid-year estimates for females (millions),207.3876
Eastern Africa,2017,Sex ratio (males per 100 females),98.3709
Eastern Africa,2017,Population aged 0 to 14 years old (percentage),42.9062
Eastern Africa,2017,Population aged 60+ years old (percentage),4.4561
Eastern Africa,2017,Population density,61.7019
Eastern Africa,2017,Surface area (thousand km2),7005
Eastern Africa,2020,Population mid-year estimates (millions),445.4056
Eastern Africa,2020,Population mid-year estimates for males (millions),221.0399
Eastern Africa,2020,Population mid-year estimates for females (millions),224.3656
Eastern Africa,2020,Sex ratio (males per 100 females),98.5177
Eastern Africa,2020,Population aged 0 to 14 years old (percentage),41.8043
Eastern Africa,2020,Population aged 60+ years old (percentage),4.5897
Eastern Africa,2020,Population density,66.8026
Middle Africa,2005,Population mid-year estimates (millions),112.0083
Middle Africa,2005,Population mid-year estimates for males (millions),55.6926
Middle Africa,2005,Population mid-year estimates for females (millions),56.3157
Middle Africa,2005,Sex ratio (males per 100 females),98.8936
Middle Africa,2005,Population aged 0 to 14 years old (percentage),45.6896
Middle Africa,2005,Population aged 60+ years old (percentage),4.5506
Middle Africa,2005,Population density,17.2405
Middle Africa,2010,Population mid-year estimates (millions),131.6221
Middle Africa,2010,Population mid-year estimates for males (millions),65.5299
Middle Africa,2010,Population mid-year estimates for females (millions),66.0922
Middle Africa,2010,Sex ratio (males per 100 females),99.1492
Middle Africa,2010,Population aged 0 to 14 years old (percentage),45.7786
Middle Africa,2010,Population aged 60+ years old (percentage),4.4199
Middle Africa,2010,Population density,20.2595
Middle Africa,2017,Population mid-year estimates (millions),164.039
Middle Africa,2017,Population mid-year estimates for males (millions),81.8194
Middle Africa,2017,Population mid-year estimates for females (millions),82.2196
Middle Africa,2017,Sex ratio (males per 100 females),99.5134
Middle Africa,2017,Population aged 0 to 14 years old (percentage),45.6221
Middle Africa,2017,Population aged 60+ years old (percentage),4.3282
Middle Africa,2017,Population density,25.2491
Middle Africa,2017,Surface area (thousand km2),6613
Middle Africa,2020,Population mid-year estimates (millions),179.5951
Middle Africa,2020,Population mid-year estimates for males (millions),89.6219
Middle Africa,2020,Population mid-year estimates for females (millions),89.9732
Middle Africa,2020,Sex ratio (males per 100 females),99.6096
Middle Africa,2020,Population aged 0 to 14 years old (percentage),45.0364
Middle Africa,2020,Population aged 60+ years old (percentage),4.3593
Middle Africa,2020,Population density,27.6435
Southern Africa,2005,Population mid-year estimates (millions),54.6447
Southern Africa,2005,Population mid-year estimates for males (millions),26.8708
Southern Africa,2005,Population mid-year estimates for females (millions),27.7739
Southern Africa,2005,Sex ratio (males per 100 females),96.7482
Southern Africa,2005,Population aged 0 to 14 years old (percentage),31.7968
Southern Africa,2005,Population aged 60+ years old (percentage),6.8584
Southern Africa,2005,Population density,20.6154
Southern Africa,2010,Population mid-year estimates (millions),58.3834
Southern Africa,2010,Population mid-year estimates for males (millions),28.7375
Southern Africa,2010,Population mid-year estimates for females (millions),29.6459
Southern Africa,2010,Sex ratio (males per 100 females),96.9357
Southern Africa,2010,Population aged 0 to 14 years old (percentage),30.5031
Southern Africa,2010,Population aged 60+ years old (percentage),7.0237
Southern Africa,2010,Population density,22.0259
Southern Africa,2017,Population mid-year estimates (millions),64.8338
Southern Africa,2017,Population mid-year estimates for males (millions),31.925
Southern Africa,2017,Population mid-year estimates for females (millions),32.9088
Southern Africa,2017,Sex ratio (males per 100 females),97.0104
Southern Africa,2017,Population aged 0 to 14 years old (percentage),29.8998
Southern Africa,2017,Population aged 60+ years old (percentage),7.9286
Southern Africa,2017,Population density,24.4594
Southern Africa,2017,Surface area (thousand km2),2675
Southern Africa,2020,Population mid-year estimates (millions),67.5036
Southern Africa,2020,Population mid-year estimates for males (millions),33.214
Southern Africa,2020,Population mid-year estimates for females (millions),34.2897
Southern Africa,2020,Sex ratio (males per 100 females),96.8629
Southern Africa,2020,Population aged 0 to 14 years old (percentage),29.5217
Southern Africa,2020,Population aged 60+ years old (percentage),8.2919
Southern Africa,2020,Population density,25.4666
Western Africa,2005,Population mid-year estimates (millions),267.8946
Western Africa,2005,Population mid-year estimates for males (millions),134.3417
Western Africa,2005,Population mid-year estimates for females (millions),133.5529
Western Africa,2005,Sex ratio (males per 100 females),100.5906
Western Africa,2005,Population aged 0 to 14 years old (percentage),44.145
Western Africa,2005,Population aged 60+ years old (percentage),4.5983
Western Africa,2005,Population density,44.1774
Western Africa,2010,Population mid-year estimates (millions),307.0404
Western Africa,2010,Population mid-year estimates for males (millions),154.1526
Western Africa,2010,Population mid-year estimates for females (millions),152.8878
Western Africa,2010,Sex ratio (males per 100 females),100.8273
Western Africa,2010,Population aged 0 to 14 years old (percentage),44.1616
Western Africa,2010,Population aged 60+ years old (percentage),4.513
Western Africa,2010,Population density,50.6328
Western Africa,2017,Population mid-year estimates (millions),371.1595
Western Africa,2017,Population mid-year estimates for males (millions),186.6818
Western Africa,2017,Population mid-year estimates for females (millions),184.4778
Western Africa,2017,Sex ratio (males per 100 females),101.1947
Western Africa,2017,Population aged 0 to 14 years old (percentage),43.7343
Western Africa,2017,Population aged 60+ years old (percentage),4.505
Western Africa,2017,Population density,61.2064
Western Africa,2017,Surface area (thousand km2),6138
Western Africa,2020,Population mid-year estimates (millions),401.8613
Western Africa,2020,Population mid-year estimates for males (millions),202.2799
Western Africa,2020,Population mid-year estimates for females (millions),199.5813
Western Africa,2020,Sex ratio (males per 100 females),101.3521
Western Africa,2020,Population aged 0 to 14 years old (percentage),43.1328
Western Africa,2020,Population aged 60+ years old (percentage),4.5553
Western Africa,2020,Population density,66.2693
Americas,2005,Population mid-year estimates (millions),884.7882
Americas,2005,Population mid-year estimates for males (millions),436.524
Americas,2005,Population mid-year estimates for females (millions),448.2641
Americas,2005,Sex ratio (males per 100 females),97.381
Americas,2005,Population aged 0 to 14 years old (percentage),26.4751
Americas,2005,Population aged 60+ years old (percentage),11.8721
Americas,2005,Population density,20.9061
Americas,2010,Population mid-year estimates (millions),934.6398
Americas,2010,Population mid-year estimates for males (millions),461.0337
Americas,2010,Population mid-year estimates for females (millions),473.6061
Americas,2010,Sex ratio (males per 100 females),97.3454
Americas,2010,Population aged 0 to 14 years old (percentage),24.7941
Americas,2010,Population aged 60+ years old (percentage),13.1134
Americas,2010,Population density,22.084
Americas,2017,Population mid-year estimates (millions),998.1754
Americas,2017,Population mid-year estimates for males (millions),492.1869
Americas,2017,Population mid-year estimates for females (millions),505.9885
Americas,2017,Sex ratio (males per 100 females),97.2723
Americas,2017,Population aged 0 to 14 years old (percentage),22.6031
Americas,2017,Population aged 60+ years old (percentage),15.4862
Americas,2017,Population density,23.5853
Americas,2017,Surface area (thousand km2),42322
Americas,2020,Population mid-year estimates (millions),1022.832
Americas,2020,Population mid-year estimates for males (millions),504.2093
Americas,2020,Population mid-year estimates for females (millions),518.6227
Americas,2020,Sex ratio (males per 100 females),97.2208
Americas,2020,Population aged 0 to 14 years old (percentage),21.8059
Americas,2020,Population aged 60+ years old (percentage),16.6226
Americas,2020,Population density,24.1679
Northern America,2005,Population mid-year estimates (millions),327.2872
Northern America,2005,Population mid-year estimates for males (millions),161.579
Northern America,2005,Population mid-year estimates for females (millions),165.7081
Northern America,2005,Sex ratio (males per 100 females),97.5082
Northern America,2005,Population aged 0 to 14 years old (percentage),20.5662
Northern America,2005,Population aged 60+ years old (percentage),16.7961
Northern America,2005,Population density,17.5473
Northern America,2010,Population mid-year estimates (millions),343.2874
Northern America,2010,Population mid-year estimates for males (millions),169.6174
Northern America,2010,Population mid-year estimates for females (millions),173.67
Northern America,2010,Sex ratio (males per 100 females),97.6665
Northern America,2010,Population aged 0 to 14 years old (percentage),19.8347
Northern America,2010,Population aged 60+ years old (percentage),18.5256
Northern America,2010,Population density,18.4052
Northern America,2017,Population mid-year estimates (millions),361.9423
Northern America,2017,Population mid-year estimates for males (millions),179.1219
Northern America,2017,Population mid-year estimates for females (millions),182.8203
Northern America,2017,Sex ratio (males per 100 females),97.977
Northern America,2017,Population aged 0 to 14 years old (percentage),18.5548
Northern America,2017,Population aged 60+ years old (percentage),21.6715
Northern America,2017,Population density,19.4054
Northern America,2017,Surface area (thousand km2),21776
Northern America,2020,Population mid-year estimates (millions),368.8696
Northern America,2020,Population mid-year estimates for males (millions),182.5805
Northern America,2020,Population mid-year estimates for females (millions),186.2891
Northern America,2020,Sex ratio (males per 100 females),98.0092
Northern America,2020,Population aged 0 to 14 years old (percentage),18.1055
Northern America,2020,Population aged 60+ years old (percentage),23.0823
Northern America,2020,Population density,19.7768
Latin America & the Caribbean,2005,Population mid-year estimates (millions),557.501
Latin America & the Caribbean,2005,Population mid-year estimates for males (millions),274.945
Latin America & the Caribbean,2005,Population mid-year estimates for females (millions),282.556
Latin America & the Caribbean,2005,Sex ratio (males per 100 females),97.3064
Latin America & the Caribbean,2005,Population aged 0 to 14 years old (percentage),29.944
Latin America & the Caribbean,2005,Population aged 60+ years old (percentage),8.9814
Latin America & the Caribbean,2005,Population density,27.6821
Latin America & the Caribbean,2010,Population mid-year estimates (millions),591.3524
Latin America & the Caribbean,2010,Population mid-year estimates for males (millions),291.4163
Latin America & the Caribbean,2010,Population mid-year estimates for females (millions),299.936
Latin America & the Caribbean,2010,Sex ratio (males per 100 females),97.1595
Latin America & the Caribbean,2010,Population aged 0 to 14 years old (percentage),27.6731
Latin America & the Caribbean,2010,Population aged 60+ years old (percentage),9.9715
Latin America & the Caribbean,2010,Population density,29.363
Latin America & the Caribbean,2017,Population mid-year estimates (millions),636.2331
Latin America & the Caribbean,2017,Population mid-year estimates for males (millions),313.065
Latin America & the Caribbean,2017,Population mid-year estimates for females (millions),323.1682
Latin America & the Caribbean,2017,Sex ratio (males per 100 females),96.8737
Latin America & the Caribbean,2017,Population aged 0 to 14 years old (percentage),24.9061
Latin America & the Caribbean,2017,Population aged 60+ years old (percentage),11.9674
Latin America & the Caribbean,2017,Population density,31.5915
Latin America & the Caribbean,2017,Surface area (thousand km2),20546
Latin America & the Caribbean,2020,Population mid-year estimates (millions),653.9623
Latin America & the Caribbean,2020,Population mid-year estimates for males (millions),321.6288
Latin America & the Caribbean,2020,Population mid-year estimates for females (millions),332.3336
Latin America & the Caribbean,2020,Sex ratio (males per 100 females),96.7789
Latin America & the Caribbean,2020,Population aged 0 to 14 years old (percentage),23.8932
Latin America & the Caribbean,2020,Population aged 60+ years old (percentage),12.979
Latin America & the Caribbean,2020,Population density,32.4718
Caribbean,2005,Population mid-year estimates (millions),39.7458
Caribbean,2005,Population mid-year estimates for males (millions),19.6756
Caribbean,2005,Population mid-year estimates for females (millions),20.0702
Caribbean,2005,Sex ratio (males per 100 females),98.0341
Caribbean,2005,Population aged 0 to 14 years old (percentage),28.1717
Caribbean,2005,Population aged 60+ years old (percentage),11.1025
Caribbean,2005,Population density,175.8595
Caribbean,2010,Population mid-year estimates (millions),41.2174
Caribbean,2010,Population mid-year estimates for males (millions),20.3907
Caribbean,2010,Population mid-year estimates for females (millions),20.8266
Caribbean,2010,Sex ratio (males per 100 females),97.9068
Caribbean,2010,Population aged 0 to 14 years old (percentage),26.5179
Caribbean,2010,Population aged 60+ years old (percentage),12.0421
Caribbean,2010,Population density,182.3704
Caribbean,2017,Population mid-year estimates (millions),43.0024
Caribbean,2017,Population mid-year estimates for males (millions),21.2482
Caribbean,2017,Population mid-year estimates for females (millions),21.7542
Caribbean,2017,Sex ratio (males per 100 females),97.6741
Caribbean,2017,Population aged 0 to 14 years old (percentage),24.632
Caribbean,2017,Population aged 60+ years old (percentage),13.8752
Caribbean,2017,Population density,190.2687
Caribbean,2017,Surface area (thousand km2),234
Caribbean,2020,Population mid-year estimates (millions),43.5324
Caribbean,2020,Population mid-year estimates for males (millions),21.4942
Caribbean,2020,Population mid-year estimates for females (millions),22.0382
Caribbean,2020,Sex ratio (males per 100 females),97.5318
Caribbean,2020,Population aged 0 to 14 years old (percentage),23.94
Caribbean,2020,Population aged 60+ years old (percentage),14.8747
Caribbean,2020,Population density,192.6134
Central America,2005,Population mid-year estimates (millions),145.9505
Central America,2005,Population mid-year estimates for males (millions),71.5143
Central America,2005,Population mid-year estimates for females (millions),74.4363
Central America,2005,Sex ratio (males per 100 females),96.0745
Central America,2005,Population aged 0 to 14 years old (percentage),33.3573
Central America,2005,Population aged 60+ years old (percentage),7.7669
Central America,2005,Population density,59.5165
Central America,2010,Population mid-year estimates (millions),157.5913
Central America,2010,Population mid-year estimates for males (millions),77.2406
Central America,2010,Population mid-year estimates for females (millions),80.3507
Central America,2010,Sex ratio (males per 100 females),96.1292
Central America,2010,Population aged 0 to 14 years old (percentage),30.9263
Central America,2010,Population aged 60+ years old (percentage),8.4401
Central America,2010,Population density,64.2634
Central America,2017,Population mid-year estimates (millions),173.3268
Central America,2017,Population mid-year estimates for males (millions),84.9253
Central America,2017,Population mid-year estimates for females (millions),88.4014
Central America,2017,Sex ratio (males per 100 females),96.0678
Central America,2017,Population aged 0 to 14 years old (percentage),28.0415
Central America,2017,Population aged 60+ years old (percentage),9.9255
Central America,2017,Population density,70.6801
Central America,2017,Surface area (thousand km2),2480
Central America,2020,Population mid-year estimates (millions),179.6702
Central America,2020,Population mid-year estimates for males (millions),88.0515
Central America,2020,Population mid-year estimates for females (millions),91.6187
Central America,2020,Sex ratio (males per 100 females),96.1064
Central America,2020,Population aged 0 to 14 years old (percentage),26.8896
Central America,2020,Population aged 60+ years old (percentage),10.6861
Central America,2020,Population density,73.2669
South America,2005,Population mid-year estimates (millions),371.8047
South America,2005,Population mid-year estimates for males (millions),183.7551
South America,2005,Population mid-year estimates for females (millions),188.0495
South America,2005,Sex ratio (males per 100 females),97.7163
South America,2005,Population aged 0 to 14 years old (percentage),28.7936
South America,2005,Population aged 60+ years old (percentage),9.2315
South America,2005,Population density,21.2933
South America,2010,Population mid-year estimates (millions),392.5437
South America,2010,Population mid-year estimates for males (millions),193.7851
South America,2010,Population mid-year estimates for females (millions),198.7586
South America,2010,Sex ratio (males per 100 females),97.4977
South America,2010,Population aged 0 to 14 years old (percentage),26.4884
South America,2010,Population aged 60+ years old (percentage),10.3688
South America,2010,Population density,22.481
South America,2017,Population mid-year estimates (millions),419.9039
South America,2017,Population mid-year estimates for males (millions),206.8914
South America,2017,Population mid-year estimates for females (millions),213.0125
South America,2017,Sex ratio (males per 100 females),97.1264
South America,2017,Population aged 0 to 14 years old (percentage),23.6399
South America,2017,Population aged 60+ years old (percentage),12.6149
South America,2017,Population density,24.0479
South America,2017,Surface area (thousand km2),17832
South America,2020,Population mid-year estimates (millions),430.7598
South America,2020,Population mid-year estimates for males (millions),212.0831
South America,2020,Population mid-year estimates for females (millions),218.6767
South America,2020,Sex ratio (males per 100 females),96.9848
South America,2020,Population aged 0 to 14 years old (percentage),22.6386
South America,2020,Population aged 60+ years old (percentage),13.7439
South America,2020,Population density,24.6697
Asia,2005,Population mid-year estimates (millions),3977.9865
Asia,2005,Population mid-year estimates for males (millions),2035.2237
Asia,2005,Population mid-year estimates for females (millions),1942.7627
Asia,2005,Sex ratio (males per 100 females),104.7593
Asia,2005,Population aged 0 to 14 years old (percentage),27.6194
Asia,2005,Population aged 60+ years old (percentage),9.1452
Asia,2005,Population density,128.1851
Asia,2010,Population mid-year estimates (millions),4209.5937
Asia,2010,Population mid-year estimates for males (millions),2155.3123
Asia,2010,Population mid-year estimates for females (millions),2054.2814
Asia,2010,Sex ratio (males per 100 females),104.9181
Asia,2010,Population aged 0 to 14 years old (percentage),25.9088
Asia,2010,Population aged 60+ years old (percentage),9.9875
Asia,2010,Population density,135.6484
Asia,2017,Population mid-year estimates (millions),4519.04
Asia,2017,Population mid-year estimates for males (millions),2311.7948
Asia,2017,Population mid-year estimates for females (millions),2207.2452
Asia,2017,Sex ratio (males per 100 females),104.7367
Asia,2017,Population aged 0 to 14 years old (percentage),24.1466
Asia,2017,Population aged 60+ years old (percentage),12.1374
Asia,2017,Population density,145.6199
Asia,2017,Surface area (thousand km2),31915
Asia,2020,Population mid-year estimates (millions),4641.0548
Asia,2020,Population mid-year estimates for males (millions),2373.462
